,filename,class
0,normal-cecum/c7284a44-8c86-4234-afc3-9086c1dba699.jpg,normal
1,normal-cecum/47108e72-2175-4b65-9ebb-f2a1a5f99317.jpg,normal
2,normal-cecum/129a68e1-4547-4863-b6ed-ddd51c332546.jpg,normal
3,normal-cecum/79d1b977-2677-4b2b-b997-5dac6419d5e8.jpg,normal
4,normal-cecum/02bb84bf-1a2e-476f-a7df-f36072bf51f9.jpg,normal
5,normal-cecum/0ee6110f-c4dc-4fd6-9bad-bd2240f84849.jpg,normal
6,normal-cecum/068d3dac-066b-47c2-8057-c5e9ceb48262.jpg,normal
7,normal-cecum/d2a73f04-4227-45e6-a4fb-d7bc5dba9bd3.jpg,normal
8,normal-cecum/d4f53339-e06c-406b-bdab-5a9e7945d861.jpg,normal
9,normal-cecum/7714ccab-d269-4ffa-b40d-7125f056e3f7.jpg,normal
10,normal-cecum/a672d9ad-7172-432a-a767-c3d3f4e895ee.jpg,normal
11,normal-cecum/c255960a-0bbb-49b5-8fc9-ca20735a18ee.jpg,normal
12,normal-cecum/e4a0d541-3dfc-4547-a23d-99311e9e3582.jpg,normal
13,normal-cecum/74c19c0b-0437-4571-bd5a-1db60be1b34b.jpg,normal
14,normal-cecum/25aad374-6e0b-4902-a25f-15923f3b3f40.jpg,normal
15,normal-cecum/03eb7061-0329-405a-a4b6-d629cf01baad.jpg,normal
16,normal-cecum/0c8c6bb6-3b70-4a88-80d8-6c46fc129c30.jpg,normal
17,normal-cecum/0db6d3b2-52ca-493c-aed2-040695867805.jpg,normal
18,normal-cecum/d40c4f78-3589-45cb-85a3-80f25595316c.jpg,normal
19,normal-cecum/9702b097-4548-400e-bfe3-3aa1d8cfb7a0.jpg,normal
20,normal-cecum/2ac19269-ac7f-4c85-83f2-49f11889121c.jpg,normal
21,normal-cecum/7fdcd68e-e2cb-4bae-abbc-566823763118.jpg,normal
22,normal-cecum/8c80df3b-00de-4435-ba77-0c03533e2277.jpg,normal
23,normal-cecum/2248097b-c53e-44d6-a5ee-6f4b0644b1cf.jpg,normal
24,normal-cecum/1ce802d6-ae50-40db-bf54-55612e195525.jpg,normal
25,normal-cecum/a5fcd40e-6a38-49b3-9e09-e34d11897b0c.jpg,normal
26,normal-cecum/4b23a4c7-b2d9-423b-ae9b-ba2bb9c2a153.jpg,normal
27,normal-cecum/950e8f7b-5a41-4026-8442-8e762f095715.jpg,normal
28,normal-cecum/561cc7f3-763c-42cf-b0f3-9e8909b0bf98.jpg,normal
29,normal-cecum/43ebf3ae-fcd3-4f8d-a1da-54ca3fe997bc.jpg,normal
30,normal-cecum/cd70be12-28ef-4ecf-beb1-40010b36bfee.jpg,normal
31,normal-cecum/1d1593ae-6e02-46de-9d95-9a9e4bd2270b.jpg,normal
32,normal-cecum/0d452625-bd76-4a9e-9c75-42f9604a173c.jpg,normal
33,normal-cecum/0c9ae570-1bb9-44ee-96db-11deabcc791e.jpg,normal
34,normal-cecum/2163b845-1f13-46bc-99d2-209c205efbb7.jpg,normal
35,normal-cecum/03adaef7-3900-4624-9ffa-6df25d1ee70c.jpg,normal
36,normal-cecum/5776d73c-f69e-4982-a91a-630bf3697ba0.jpg,normal
37,normal-cecum/8ea05ad6-2986-42af-a856-ccc3ac9d704c.jpg,normal
38,normal-cecum/7e65f101-3256-44df-bb22-0c5824a3644d.jpg,normal
39,normal-cecum/5477d1bd-9223-4850-a23e-3012516ec937.jpg,normal
40,normal-cecum/5a7a835e-0a56-48f5-b44f-09aee583a73c.jpg,normal
41,normal-cecum/09b7c1b5-b9b4-45d8-8ea5-72bef4ab037a.jpg,normal
42,normal-cecum/3e41b720-3049-41d4-8d7c-f25c0c3c7bd9.jpg,normal
43,normal-cecum/367ad79f-b160-4955-b666-bbb6398c22d1.jpg,normal
44,normal-cecum/3ed83478-0f49-400e-9e75-080aefd04205.jpg,normal
45,normal-cecum/d5c14fbd-fdd9-45e1-a4cf-348da672dd28.jpg,normal
46,normal-cecum/23277709-ff55-47d6-9c20-dc14f6208306.jpg,normal
47,normal-cecum/80f84c27-5cfc-45b8-9a9e-1e3ba58fe646.jpg,normal
48,normal-cecum/40d1b2ec-9b28-40cd-8996-0d06492351ef.jpg,normal
49,normal-cecum/4016dab7-abd0-42a2-bb51-69c5b617a263.jpg,normal
50,normal-cecum/704b2f84-befc-4231-a73a-cae434866b4e.jpg,normal
51,normal-cecum/50964a22-20e1-467a-8d12-f54bc4e9bc65.jpg,normal
52,normal-cecum/5e8eeff6-7790-428e-a220-4d1eee4f96f8.jpg,normal
53,normal-cecum/45378f6e-0d63-4f38-95e5-3b31cfa46ae6.jpg,normal
54,normal-cecum/b9ab86b1-0d68-45fd-9d69-04adb1d95070.jpg,normal
55,normal-cecum/d1846971-379f-4831-a8e3-ae0e0a8b9824.jpg,normal
56,normal-cecum/2a91d5c6-e604-4476-a3dd-b42f8cba7294.jpg,normal
57,normal-cecum/9bdda2b3-df46-441b-9675-8d8a92789c7d.jpg,normal
58,normal-cecum/8e4dc5f0-3165-4471-ab5f-1317ca932191.jpg,normal
59,normal-cecum/04a4bc9f-63a8-45f5-afb8-0c3f9df1c51b.jpg,normal
60,normal-cecum/5269c5eb-a1f7-45e1-9537-6827a9b3d244.jpg,normal
61,normal-cecum/77e77c38-2678-4855-a485-61b68d421218.jpg,normal
62,normal-cecum/5ff34bb3-7472-4807-a501-9a0bf53c5d7e.jpg,normal
63,normal-cecum/683c2b9b-7e3a-4331-b833-74010b8e81f7.jpg,normal
64,normal-cecum/b5c09acc-e325-4ebe-86c2-d52e31671043.jpg,normal
65,normal-cecum/881783fa-8f0a-4ccd-83c8-5e9cba09385b.jpg,normal
66,normal-cecum/e3f2424a-9767-4dd9-bd1c-5240b9fd2079.jpg,normal
67,normal-cecum/c0508386-80e2-47a1-9f63-0fb73a0e5cc9.jpg,normal
